time	V(ina)	V(out_y)	V(sel)	V(selb)
3.502399309778003e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.506305559778003e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.510211809778003e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.514118059778003e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.518024309778003e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.521930559778003e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.525836809778003e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.529743059778003e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.533649309778003e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.537555559778003e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.541461809778003e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.545368059778003e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.549274309778003e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.553180559778003e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.557086809778003e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.560993059778003e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.564899309778003e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.568805559778003e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.572711809778003e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.576618059778002e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.580524309778002e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.584430559778002e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.588336809778002e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.592243059778002e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.596149309778002e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.600055559778002e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.603961809778002e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.607868059778002e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.611774309778002e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.615680559778002e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.619586809778002e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.623493059778002e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.627399309778002e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.631305559778002e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.635211809778002e-08	5.000000e+00	5.210962e+00	0.000000e+00	5.000000e+00
3.639118059778002e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.643024309778002e-08	5.000000e+00	5.210962e+00	0.000000e+00	5.000000e+00
3.646930559778002e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.650836809778002e-08	5.000000e+00	5.210962e+00	0.000000e+00	5.000000e+00
3.654743059778002e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.658649309778002e-08	5.000000e+00	5.210962e+00	0.000000e+00	5.000000e+00
3.662555559778002e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.666461809778002e-08	5.000000e+00	5.210962e+00	0.000000e+00	5.000000e+00
3.670368059778002e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.674274309778002e-08	5.000000e+00	5.210962e+00	0.000000e+00	5.000000e+00
3.678180559778001e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.682086809778001e-08	5.000000e+00	5.210962e+00	0.000000e+00	5.000000e+00
3.685993059778001e-08	5.000000e+00	5.210963e+00	0.000000e+00	5.000000e+00
3.689899309778001e-08	5.000000e+00	5.210962e+00	0.000000e+00	5.000000e+00
3.690000000000001e-08	5.000000e+00	5.210963e+00	2.273737e-13	5.000000e+00
3.690010069022201e-08	5.000000e+00	5.211142e+00	5.034511e-03	5.000000e+00
3.690030207066600e-08	5.000000e+00	5.211567e+00	1.510353e-02	5.000000e+00
3.690070483155400e-08	5.000000e+00	5.212461e+00	3.524158e-02	5.000000e+00
3.690151035333000e-08	5.000000e+00	5.214216e+00	7.551767e-02	5.000000e+00
3.690312139688198e-08	5.000000e+00	5.217753e+00	1.560698e-01	5.000000e+00
3.690634348398596e-08	5.000000e+00	5.224803e+00	3.171742e-01	5.000000e+00
3.691278765819391e-08	5.000000e+00	5.238926e+00	6.393829e-01	5.000000e+00
3.692567600660981e-08	5.000000e+00	5.267147e+00	1.283800e+00	5.000000e+00
3.695145270344162e-08	5.000000e+00	5.323604e+00	2.572635e+00	5.000000e+00
3.699051520344162e-08	5.000000e+00	5.409077e+00	4.525760e+00	5.000000e+00
