time	V(vdd)*Ix(xinv_20_1@0:vdd)
3.268609094791239e-08	-2.390810e-05
3.272515344791239e-08	2.354483e-05
3.276421594791239e-08	-2.317883e-05
3.280327844791239e-08	2.282342e-05
3.284234094791239e-08	-2.246999e-05
3.288140344791239e-08	2.212399e-05
3.292046594791239e-08	-2.178174e-05
3.295952844791239e-08	2.144555e-05
3.299859094791239e-08	-2.111372e-05
3.303765344791239e-08	2.078733e-05
3.307671594791238e-08	-2.046545e-05
3.311577844791238e-08	2.014866e-05
3.315484094791238e-08	-1.983637e-05
3.319390344791238e-08	1.952894e-05
3.323296594791238e-08	-1.922592e-05
3.327202844791238e-08	1.892759e-05
3.331109094791238e-08	-1.863355e-05
3.335015344791238e-08	1.834406e-05
3.338921594791238e-08	-1.805872e-05
3.342827844791238e-08	1.777779e-05
3.346734094791238e-08	-1.750090e-05
3.350640344791238e-08	1.722829e-05
3.354546594791238e-08	-1.695958e-05
3.358452844791238e-08	1.669503e-05
3.362359094791238e-08	-1.643427e-05
3.366265344791238e-08	1.617753e-05
3.370171594791238e-08	-1.592447e-05
3.374077844791238e-08	1.567532e-05
3.377984094791238e-08	-1.542974e-05
3.381890344791238e-08	1.518795e-05
3.385796594791238e-08	-1.494961e-05
3.389702844791238e-08	1.471495e-05
3.393609094791238e-08	-1.448364e-05
3.397515344791238e-08	1.425591e-05
3.401421594791238e-08	-1.403142e-05
3.405327844791238e-08	1.381041e-05
3.409234094791238e-08	-1.359253e-05
3.413140344791237e-08	1.337803e-05
3.417046594791237e-08	-1.316657e-05
3.420952844791237e-08	1.295839e-05
3.424859094791237e-08	-1.275316e-05
3.428765344791237e-08	1.255110e-05
3.432671594791237e-08	-1.235191e-05
3.436577844791237e-08	1.215580e-05
3.440484094791237e-08	-1.196246e-05
3.444390344791237e-08	1.177212e-05
3.448296594791237e-08	-1.158447e-05
3.452202844791237e-08	1.139972e-05
3.456109094791237e-08	-1.121758e-05
3.460015344791237e-08	1.103826e-05
3.463921594791237e-08	-1.086147e-05
3.467827844791237e-08	1.068742e-05
3.471734094791237e-08	-1.051581e-05
3.475640344791237e-08	1.034687e-05
3.479546594791237e-08	-1.018030e-05
3.483452844791237e-08	1.001631e-05
3.487359094791237e-08	-9.854622e-06
3.491265344791237e-08	9.695447e-06
3.495171594791237e-08	-9.538492e-06
3.499077844791237e-08	9.383982e-06
3.502984094791237e-08	-9.231622e-06
3.506890344791237e-08	9.081638e-06
3.510796594791237e-08	-8.933737e-06
3.514702844791237e-08	8.788144e-06
3.518609094791236e-08	-8.644569e-06
3.522515344791236e-08	8.503236e-06
3.526421594791236e-08	-8.363858e-06
3.530327844791236e-08	8.226658e-06
3.534234094791236e-08	-8.091351e-06
3.538140344791236e-08	7.958162e-06
3.542046594791236e-08	-7.826807e-06
3.545952844791236e-08	7.697508e-06
3.549859094791236e-08	-7.569986e-06
3.553765344791236e-08	7.444463e-06
3.557671594791236e-08	-7.320659e-06
3.561577844791236e-08	7.198798e-06
3.565484094791236e-08	-7.078604e-06
3.569390344791236e-08	6.960298e-06
3.573296594791236e-08	-6.843604e-06
3.577202844791236e-08	6.728746e-06
3.581109094791236e-08	-6.615450e-06
3.585015344791236e-08	6.503938e-06
