time	V(vout)	Ix(xinv_20_1@0:y_c17530)
2.287787335300763e-08	1.420055e-04	-6.741403e-06
2.291693585300763e-08	-1.394403e-04	6.578890e-06
2.295599835300763e-08	1.371968e-04	-6.419240e-06
2.299506085300763e-08	-1.347597e-04	6.262509e-06
2.303412335300763e-08	1.325638e-04	-6.108570e-06
2.307318585300763e-08	-1.302235e-04	5.957426e-06
2.311224835300763e-08	1.280904e-04	-5.808986e-06
2.315131085300763e-08	-1.248278e-04	5.664166e-06
2.319037335300763e-08	1.265195e-04	-5.518256e-06
2.322943585300763e-08	-1.176463e-04	5.381727e-06
2.326849835300763e-08	1.241813e-04	-5.238740e-06
2.330756085300763e-08	-1.124666e-04	5.108446e-06
2.334662335300763e-08	1.207218e-04	-4.969682e-06
2.338568585300763e-08	-1.081997e-04	4.844573e-06
2.342474835300763e-08	1.169234e-04	-4.710418e-06
2.346381085300763e-08	-1.043591e-04	4.589990e-06
2.350287335300763e-08	1.130764e-04	-4.460487e-06
2.354193585300763e-08	-1.007551e-04	4.344450e-06
2.358099835300763e-08	1.092895e-04	-4.219513e-06
2.362006085300762e-08	-9.731232e-05	4.107665e-06
2.365912335300762e-08	1.056019e-04	-3.987162e-06
2.369818585300762e-08	-9.399954e-05	3.879336e-06
2.373724835300762e-08	1.020262e-04	-3.763122e-06
2.377631085300762e-08	-9.080247e-05	3.659167e-06
2.381537335300762e-08	9.856474e-05	-3.547096e-06
2.385443585300762e-08	-8.771345e-05	3.446872e-06
2.389349835300762e-08	9.521606e-05	-3.338799e-06
2.393256085300762e-08	-8.472740e-05	3.242171e-06
2.397162335300762e-08	9.197732e-05	-3.137957e-06
2.401068585300762e-08	-8.184034e-05	3.044798e-06
2.404974835300762e-08	8.884523e-05	-2.944305e-06
2.408881085300762e-08	-7.904876e-05	2.854492e-06
2.412787335300762e-08	8.581639e-05	-2.757590e-06
2.416693585300762e-08	-7.634942e-05	2.671003e-06
2.420599835300762e-08	8.288743e-05	-2.577565e-06
2.424506085300762e-08	-7.373921e-05	2.494091e-06
2.428412335300762e-08	8.005506e-05	-2.403995e-06
2.432318585300762e-08	-7.121518e-05	2.323523e-06
2.436224835300762e-08	7.731610e-05	-2.236652e-06
2.440131085300762e-08	-6.877446e-05	2.159076e-06
2.444037335300762e-08	7.466746e-05	-2.075316e-06
2.447943585300762e-08	-6.641429e-05	2.000533e-06
2.451849835300762e-08	7.210614e-05	-1.919774e-06
2.455756085300762e-08	-6.413199e-05	1.847685e-06
2.459662335300762e-08	6.962927e-05	-1.769823e-06
2.463568585300762e-08	-6.192499e-05	1.700333e-06
2.467474835300761e-08	6.723405e-05	-1.625265e-06
2.471381085300761e-08	-5.979080e-05	1.558283e-06
2.475287335300761e-08	6.491778e-05	-1.485911e-06
2.479193585300761e-08	-5.772700e-05	1.421347e-06
2.483099835300761e-08	6.267786e-05	-1.351577e-06
2.487006085300761e-08	-5.573126e-05	1.289347e-06
2.490912335300761e-08	6.051176e-05	-1.222087e-06
2.494818585300761e-08	-5.380134e-05	1.162107e-06
