time	V(clk)	V(clkb)	V(ind)	V(outq)
2.110717939540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	2.964735e-04
2.114624189540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	2.915873e-04
2.118530439540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	1.520979e-04
2.122436689540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	1.802190e-04
2.126342939540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	7.123555e-05
2.130249189540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	1.166142e-04
2.134155439540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	2.608936e-05
2.138061689540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	7.998296e-05
2.141967939540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	1.130299e-06
2.145874189540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	5.950005e-05
2.149780439540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	-1.132532e-05
2.153686689540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	4.741107e-05
2.157592939540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	-1.847431e-05
2.161499189540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	3.978321e-05
2.165405439540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	-2.209215e-05
2.169311689540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	3.498181e-05
2.173217939540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	-2.362736e-05
2.177124189540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	3.171854e-05
2.181030439540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	-2.410465e-05
2.184936689540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	2.942054e-05
2.188842939540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	-2.389058e-05
2.192749189540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	2.767257e-05
2.196655439540420e-08	5.000000e+00	0.000000e+00	0.000000e+00	-2.336014e-05
2.200000000000000e-08	5.000000e+00	0.000000e+00	0.000000e+00	2.622771e-05
2.200334456045958e-08	5.000000e+00	0.000000e+00	1.672280e-01	4.536405e-05
2.201003368137874e-08	5.000000e+00	0.000000e+00	5.016841e-01	2.158751e-04
2.202341192321706e-08	5.000000e+00	0.000000e+00	1.170596e+00	8.310821e-04
2.204133700000033e-08	5.000000e+00	0.000000e+00	2.066850e+00	1.193754e-03
2.206442457078274e-08	5.000000e+00	0.000000e+00	3.221229e+00	-4.215203e-04
2.208715228179453e-08	5.000000e+00	0.000000e+00	4.357614e+00	-5.239981e-03
2.210000000000000e-08	5.000000e+00	0.000000e+00	5.000000e+00	-9.629411e-03
2.210128477182055e-08	5.000000e+00	0.000000e+00	5.000000e+00	-1.014674e-02
2.210385431546164e-08	5.000000e+00	0.000000e+00	5.000000e+00	-1.119949e-02
2.210899340274383e-08	5.000000e+00	0.000000e+00	5.000000e+00	-1.333585e-02
2.211927157730820e-08	5.000000e+00	0.000000e+00	5.000000e+00	-1.851769e-02
2.213495772303365e-08	5.000000e+00	0.000000e+00	5.000000e+00	-2.832233e-02
2.216633001448453e-08	5.000000e+00	0.000000e+00	5.000000e+00	-1.958035e-02
2.220539251448453e-08	5.000000e+00	0.000000e+00	5.000000e+00	1.473139e-01
2.224445501448453e-08	5.000000e+00	0.000000e+00	5.000000e+00	5.271899e-01
2.228351751448453e-08	5.000000e+00	0.000000e+00	5.000000e+00	1.195986e+00
2.232258001448453e-08	5.000000e+00	0.000000e+00	5.000000e+00	2.204646e+00
2.236164251448453e-08	5.000000e+00	0.000000e+00	5.000000e+00	3.355695e+00
2.239153818456174e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.081110e+00
2.242508481114335e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.562467e+00
2.246208555546634e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.792649e+00
2.248813273385567e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.857099e+00
2.251981476307133e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.911135e+00
2.255027011115236e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.947614e+00
2.258208779782091e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.970974e+00
2.261610402573927e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.984572e+00
2.265516652573927e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.992174e+00
2.269422902573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.995680e+00
2.273329152573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.997380e+00
2.277235402573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.998326e+00
2.281141652573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.998868e+00
2.285047902573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999237e+00
2.288954152573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999459e+00
2.292860402573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999635e+00
2.296766652573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999734e+00
2.300672902573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999825e+00
2.304579152573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999866e+00
2.308485402573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999917e+00
2.312391652573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999931e+00
2.316297902573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999962e+00
2.320204152573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999963e+00
2.324110402573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999984e+00
2.328016652573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999979e+00
2.331922902573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999994e+00
2.335829152573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999987e+00
2.339735402573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	5.000000e+00
2.343641652573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999991e+00
2.347547902573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	5.000003e+00
2.351454152573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999993e+00
2.355360402573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	5.000004e+00
2.359266652573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999994e+00
2.363172902573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	5.000004e+00
2.367079152573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999995e+00
2.370985402573926e-08	5.000000e+00	0.000000e+00	5.000000e+00	5.000005e+00
2.374891652573925e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999995e+00
2.378797902573925e-08	5.000000e+00	0.000000e+00	5.000000e+00	5.000005e+00
2.382704152573925e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999995e+00
2.386610402573925e-08	5.000000e+00	0.000000e+00	5.000000e+00	5.000004e+00
2.390516652573925e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999995e+00
2.394422902573925e-08	5.000000e+00	0.000000e+00	5.000000e+00	5.000004e+00
2.398329152573925e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999996e+00
2.402235402573925e-08	5.000000e+00	0.000000e+00	5.000000e+00	5.000004e+00
2.406141652573925e-08	5.000000e+00	0.000000e+00	5.000000e+00	4.999996e+00
2.410000000000000e-08	5.000000e+00	0.000000e+00	5.000000e+00	5.000004e+00
2.410306223078040e-08	5.000000e+00	0.000000e+00	4.846889e+00	4.999920e+00
2.410918669234120e-08	5.000000e+00	0.000000e+00	4.540665e+00	4.999625e+00
2.412143561546280e-08	5.000000e+00	0.000000e+00	3.928219e+00	4.998693e+00
2.413670503845308e-08	5.000000e+00	0.000000e+00	3.164748e+00	4.998625e+00
2.415731139585488e-08	5.000000e+00	0.000000e+00	2.134430e+00	5.003374e+00
2.418255370507835e-08	5.000000e+00	0.000000e+00	8.723148e-01	5.019265e+00
2.420000000000000e-08	5.000000e+00	0.000000e+00	0.000000e+00	5.036281e+00
2.420174462949217e-08	5.000000e+00	0.000000e+00	0.000000e+00	5.038210e+00
2.420523388847650e-08	5.000000e+00	0.000000e+00	0.000000e+00	5.042330e+00
2.421221240644516e-08	5.000000e+00	0.000000e+00	0.000000e+00	5.051823e+00
2.422546837380774e-08	5.000000e+00	0.000000e+00	0.000000e+00	5.058424e+00
2.425198030853290e-08	5.000000e+00	0.000000e+00	0.000000e+00	4.997182e+00
2.428359028595090e-08	5.000000e+00	0.000000e+00	0.000000e+00	4.821687e+00
2.432265278595090e-08	5.000000e+00	0.000000e+00	0.000000e+00	4.477994e+00
2.436171528595090e-08	5.000000e+00	0.000000e+00	0.000000e+00	3.949831e+00
